OpenROAD v2.0-19149-g9ef9c213c 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
Perform port buffering...
Perform buffer insertion and gate resizing...
repair_design -verbose -match_cell_footprint
[INFO RSZ-0058] Using max wire length 23868um.
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |      4027
       10 |     +0.0% |       0 |       0 |             0 |      4017
       20 |     +0.0% |       0 |       0 |             0 |      4007
       30 |     +0.0% |       0 |       0 |             0 |      3997
       40 |     +0.0% |       0 |       0 |             0 |      3987
       50 |     +0.0% |       0 |       0 |             0 |      3977
       60 |     +0.0% |       0 |       0 |             0 |      3967
       70 |     +0.0% |       0 |       0 |             0 |      3957
       80 |     +0.0% |       0 |       0 |             0 |      3947
       90 |     +0.0% |       0 |       0 |             0 |      3937
      100 |     +0.0% |       0 |       0 |             0 |      3927
      110 |     +0.0% |       0 |       0 |             0 |      3917
      120 |     +0.0% |       0 |       0 |             0 |      3907
      130 |     +0.0% |       0 |       0 |             0 |      3897
      140 |     +0.0% |       0 |       0 |             0 |      3887
      150 |     +0.0% |       0 |       0 |             0 |      3877
      160 |     +0.0% |       0 |       0 |             0 |      3867
      170 |     +0.0% |       0 |       0 |             0 |      3857
      180 |     +0.0% |       0 |       0 |             0 |      3847
      190 |     +0.0% |       0 |       0 |             0 |      3837
      200 |     +0.0% |       0 |       0 |             0 |      3827
      210 |     +0.0% |       0 |       0 |             0 |      3817
      220 |     +0.0% |       0 |       0 |             0 |      3807
      230 |     +0.0% |       0 |       0 |             0 |      3797
      240 |     +0.0% |       0 |       0 |             0 |      3787
      250 |     +0.0% |       0 |       0 |             0 |      3777
      260 |     +0.0% |       0 |       0 |             0 |      3767
      270 |     +0.0% |       0 |       0 |             0 |      3757
      280 |     +0.0% |       0 |       0 |             0 |      3747
      290 |     +0.0% |       0 |       0 |             0 |      3737
      300 |     +0.0% |       0 |       0 |             0 |      3727
      310 |     +0.0% |       0 |       0 |             0 |      3717
      320 |     +0.0% |       0 |       0 |             0 |      3707
      330 |     +0.0% |       0 |       0 |             0 |      3697
      340 |     +0.0% |       0 |       0 |             0 |      3687
      350 |     +0.0% |       0 |       0 |             0 |      3677
      360 |     +0.0% |       0 |       0 |             0 |      3667
      370 |     +0.0% |       0 |       0 |             0 |      3657
      380 |     +0.0% |       0 |       0 |             0 |      3647
      390 |     +0.0% |       0 |       0 |             0 |      3637
      400 |     +0.0% |       0 |       0 |             0 |      3627
      410 |     +0.0% |       0 |       0 |             0 |      3617
      420 |     +0.0% |       0 |       0 |             0 |      3607
      430 |     +0.0% |       0 |       0 |             0 |      3597
      440 |     +0.0% |       0 |       0 |             0 |      3587
      450 |     +0.0% |       0 |       0 |             0 |      3577
      460 |     +0.0% |       0 |       0 |             0 |      3567
      470 |     +0.0% |       0 |       0 |             0 |      3557
      480 |     +0.0% |       0 |       0 |             0 |      3547
      490 |     +0.0% |       0 |       0 |             0 |      3537
      500 |     +0.0% |       0 |       0 |             0 |      3527
      510 |     +0.0% |       0 |       0 |             0 |      3517
      520 |     +0.0% |       0 |       0 |             0 |      3507
      530 |     +0.0% |       0 |       0 |             0 |      3497
      540 |     +0.0% |       0 |       0 |             0 |      3487
      550 |     +0.0% |       0 |       0 |             0 |      3477
      560 |     +0.0% |       0 |       0 |             0 |      3467
      570 |     +0.0% |       0 |       0 |             0 |      3457
      580 |     +0.0% |       0 |       0 |             0 |      3447
      590 |     +0.0% |       0 |       0 |             0 |      3437
      600 |     +0.0% |       0 |       0 |             0 |      3427
      610 |     +0.0% |       0 |       0 |             0 |      3417
      620 |     +0.0% |       0 |       0 |             0 |      3407
      630 |     +0.0% |       0 |       0 |             0 |      3397
      640 |     +0.0% |       0 |       0 |             0 |      3387
      650 |     +0.0% |       0 |       0 |             0 |      3377
      660 |     +0.0% |       0 |       0 |             0 |      3367
      670 |     +0.0% |       0 |       0 |             0 |      3357
      680 |     +0.0% |       0 |       0 |             0 |      3347
      690 |     +0.0% |       0 |       0 |             0 |      3337
      700 |     +0.0% |       0 |       0 |             0 |      3327
      710 |     +0.0% |       0 |       0 |             0 |      3317
      720 |     +0.0% |       0 |       0 |             0 |      3307
      730 |     +0.0% |       0 |       0 |             0 |      3297
      740 |     +0.0% |       0 |       0 |             0 |      3287
      750 |     +0.0% |       0 |       0 |             0 |      3277
      760 |     +0.0% |       0 |       0 |             0 |      3267
      770 |     +0.0% |       0 |       0 |             0 |      3257
      780 |     +0.0% |       0 |       0 |             0 |      3247
      790 |     +0.0% |       0 |       0 |             0 |      3237
      800 |     +0.0% |       0 |       0 |             0 |      3227
      810 |     +0.0% |       0 |       0 |             0 |      3217
      820 |     +0.0% |       0 |       0 |             0 |      3207
      830 |     +0.0% |       0 |       0 |             0 |      3197
      840 |     +0.0% |       0 |       0 |             0 |      3187
      850 |     +0.0% |       0 |       0 |             0 |      3177
      860 |     +0.0% |       0 |       0 |             0 |      3167
      870 |     +0.0% |       0 |       0 |             0 |      3157
      880 |     +0.0% |       0 |       0 |             0 |      3147
      890 |     +0.0% |       0 |       0 |             0 |      3137
      900 |     +0.0% |       0 |       0 |             0 |      3127
      910 |     +0.0% |       0 |       0 |             0 |      3117
      920 |     +0.0% |       0 |       0 |             0 |      3107
      930 |     +0.0% |       0 |       0 |             0 |      3097
      940 |     +0.0% |       0 |       0 |             0 |      3087
      950 |     +0.0% |       0 |       0 |             0 |      3077
      960 |     +0.0% |       0 |       0 |             0 |      3067
      970 |     +0.0% |       0 |       0 |             0 |      3057
      980 |     +0.0% |       0 |       0 |             0 |      3047
      990 |     +0.0% |       0 |       0 |             0 |      3037
     1000 |     +0.0% |       0 |       0 |             0 |      3027
     1010 |     +0.0% |       0 |       0 |             0 |      3017
     1020 |     +0.0% |       0 |       0 |             0 |      3007
     1030 |     +0.0% |       0 |       0 |             0 |      2997
     1040 |     +0.0% |       0 |       0 |             0 |      2987
     1050 |     +0.0% |       0 |       0 |             0 |      2977
     1060 |     +0.0% |       0 |       0 |             0 |      2967
     1070 |     +0.0% |       0 |       0 |             0 |      2957
     1080 |     +0.0% |       0 |       0 |             0 |      2947
     1090 |     +0.0% |       0 |       0 |             0 |      2937
     1100 |     +0.0% |       0 |       0 |             0 |      2927
     1110 |     +0.0% |       0 |       0 |             0 |      2917
     1120 |     +0.0% |       0 |       0 |             0 |      2907
     1130 |     +0.0% |       0 |       0 |             0 |      2897
     1140 |     +0.0% |       0 |       0 |             0 |      2887
     1150 |     +0.0% |       0 |       0 |             0 |      2877
     1160 |     +0.0% |       0 |       0 |             0 |      2867
     1170 |     +0.0% |       0 |       0 |             0 |      2857
     1180 |     +0.0% |       0 |       0 |             0 |      2847
     1190 |     +0.0% |       0 |       0 |             0 |      2837
     1200 |     +0.0% |       0 |       0 |             0 |      2827
     1210 |     +0.0% |       0 |       0 |             0 |      2817
     1220 |     +0.0% |       0 |       0 |             0 |      2807
     1230 |     +0.0% |       0 |       0 |             0 |      2797
     1240 |     +0.0% |       0 |       0 |             0 |      2787
     1250 |     +0.0% |       0 |       0 |             0 |      2777
     1260 |     +0.0% |       0 |       0 |             0 |      2767
     1270 |     +0.0% |       0 |       0 |             0 |      2757
     1280 |     +0.0% |       0 |       0 |             0 |      2747
     1290 |     +0.0% |       0 |       0 |             0 |      2737
